16.12.2016;55;;
15.02.2017;3;;
15.02.2017;2;;
15.02.2017;6;;
15.02.2017;undefined;;
15.02.2017;10;;
15.02.2017;3;;
15.02.2017;11;;
15.02.2017;5;;
15.02.2017;17;;
15.02.2017;27;;
15.02.2017;10;;
15.02.2017;13;;
16.02.2017;undefined;;
16.02.2017;10;;
16.02.2017;3;;
16.02.2017;6;;
16.02.2017;2;;
16.02.2017;10;;
16.02.2017;3;;
16.02.2017;4;;
16.02.2017;3;;
16.02.2017;7;;
16.02.2017;5;;
16.02.2017;14;;
16.02.2017;76;;
16.02.2017;6;;
;;16.02.2017;34
;;16.02.2017;23
17.02.2017;23;17.02.2017;21
;;17.02.2017;3
;;17.02.2017;3
;;17.02.2017;34
;;18.02.2017;6
18.02.2017;12;;
18.02.2017;8;;
18.02.2017;5;;
18.02.2017;12;;
;;21.02.2017;2
21.02.2017;10;;
;;22.02.2017;1
